date_seen,store,label,bale_weight_lbs,
8/15/18,95,264,1040,
8/15/18,96,322,1002,
8/15/18,97,232,506,
8/15/18,97,233,856,
8/15/18,97,234,427,
8/15/18,97,235,957,
8/15/18,97,236,983,
8/15/18,98,499,1041,
8/15/18,98,500,719,
8/15/18,98,9,932,
8/15/18,98,12,989,
8/15/18,98,13,920,
8/15/18,101,483,884,
8/15/18,101,484,1073,
8/15/18,102,351,977,
8/15/18,102,353,907,
8/15/18,103,148,957,
8/15/18,104,332,322,
8/15/18,31,243,933,
8/15/18,31,244,933,
8/15/18,31,245,1037,
8/15/18,31,246,929,
8/15/18,107,114,949,
8/15/18,107,115,1017,
8/15/18,108,464,996,
8/15/18,108,465,1009,
8/15/18,109,496,1060,
8/15/18,110,363,960,
8/15/18,112,412,902,
8/15/18,112,413,1083,
8/15/18,113,48,1054,
8/15/18,4,43,961,
8/15/18,4,44,932,
8/15/18,4,45,1012,
8/15/18,34,94,912,
8/15/18,34,95,971,
8/15/18,34,96,1017,
8/15/18,5,459,809,
8/15/18,5,462,937,
8/15/18,5,463,878,
8/15/18,114,262,921,
8/15/18,116,394,1130,
8/15/18,116,396,1253,
8/15/18,116,397,1109,
8/15/18,116,398,1043,
8/15/18,117,203,1004,
8/15/18,122,24,874,
8/15/18,123,29,1079,
8/15/18,123,30,1020,
8/15/18,123,31,994,
8/15/18,123,32,192,
8/15/18,37,476,1068,
8/15/18,37,477,1037,
8/15/18,37,478,985,
8/15/18,37,479,1041,
8/15/18,37,480,1077,
8/15/18,126,46,944,
8/15/18,127,335,973,
8/15/18,129,456,1084,
8/15/18,129,457,366,
8/15/18,131,92,926,
8/15/18,131,93,495,
8/15/18,134,79,1367,
8/15/18,38,15,521,
8/15/18,38,16,924,
8/15/18,38,17,981,
8/15/18,38,18,971,
8/15/18,138,368,1064,
8/15/18,138,369,1051,
8/15/18,142,484,1035,
8/15/18,145,47,1053,
8/15/18,146,359,884,
8/15/18,148,331,915,
8/15/18,148,332,248,
8/15/18,151,397,959,
8/15/18,152,303,999,
8/15/18,152,304,931,
8/15/18,157,146,1094,
8/15/18,157,147,925,
8/15/18,157,150,928,
8/15/18,157,151,1058,
8/15/18,157,152,931,
8/15/18,157,153,278,
8/15/18,156,242,845,
8/15/18,156,243,845,
8/15/18,150,329,892,
8/15/18,41,99,545,
8/15/18,41,103,893,
8/15/18,41,104,822,
8/15/18,41,105,822,
8/15/18,161,231,1162,
8/15/18,164,105,913,
8/15/18,164,106,950,
8/15/18,164,107,757,
8/15/18,165,256,1003,
8/15/18,165,257,1003,
8/15/18,165,258,1393,
8/15/18,165,259,617,
8/15/18,165,260,967,
8/15/18,165,261,846,
8/15/18,42,187,845,
8/15/18,168,381,897,
8/15/18,168,382,897,
8/15/18,170,40,996,
8/15/18,170,41,960,
8/15/18,171,241,988,
8/15/18,171,242,944,
8/15/18,171,243,983,
8/15/18,171,244,877,
8/15/18,173,169,921,
8/15/18,173,170,671,
8/15/18,174,22,1053,
8/15/18,174,23,954,
8/15/18,174,24,1070,
8/15/18,176,298,688,
8/15/18,176,299,931,
8/15/18,170,38,970,
8/15/18,170,39,1033,
8/15/18,182,293,1057,
8/15/18,182,294,536,
8/15/18,183,486,222,
8/15/18,183,487,963,
8/15/18,183,488,922,
8/15/18,185,212,998,
8/15/18,45,439,965,
8/15/18,45,440,936,
8/15/18,45,442,919,
8/15/18,188,200,1274,
8/15/18,46,105,713,
8/15/18,7,358,963,
8/15/18,49,472,1035,
8/15/18,51,187,1125,
8/15/18,51,192,1229,
8/15/18,51,193,974,
8/15/18,51,194,974,
8/15/18,212,359,1033,
8/15/18,212,360,1098,
8/15/18,60,138,1036,
8/15/18,60,139,1086,
8/15/18,60,140,989,
8/15/18,60,141,965,
8/15/18,60,133,945,
8/15/18,60,134,953,
8/15/18,60,135,982,
8/16/18,1,224,1007,
8/16/18,9,102,1015,
8/16/18,9,103,797,
8/16/18,11,440,1146,
8/16/18,12,66,998,
8/16/18,12,67,435,
8/16/18,12,68,526,
8/16/18,12,69,1225,
8/16/18,12,70,990,
8/16/18,12,71,1048,
8/16/18,14,401,944,
8/16/18,14,402,1032,
8/16/18,14,403,448,
8/16/18,16,193,926,
8/16/18,16,194,625,
8/16/18,16,261,926,
8/16/18,17,413,1070,
8/16/18,18,103,980,
8/16/18,18,104,698,
8/16/18,18,105,912,
8/16/18,190,291,977,
8/16/18,190,292,1002,
8/16/18,190,293,1079,
8/16/18,192,165,1041,
8/16/18,192,166,1004,
8/16/18,192,167,975,
8/16/18,195,194,942,
8/16/18,196,136,1089,
8/16/18,196,147,1098,
8/16/18,196,148,1027,
8/16/18,196,149,793,
8/16/18,196,151,937,
8/16/18,197,483,1053,
8/16/18,197,484,1019,
8/16/18,197,486,794,
8/16/18,197,487,929,
8/16/18,197,488,996,
8/16/18,200,410,1380,
8/16/18,200,411,718,
8/16/18,200,412,1042,
8/16/18,200,413,994,
8/16/18,201,70,1159,
8/16/18,201,71,1057,
8/16/18,204,42,893,
8/16/18,204,43,959,
8/16/18,206,323,842,
8/16/18,208,446,1023,
8/16/18,208,447,984,
8/16/18,208,448,928,
8/16/18,208,449,933,
8/16/18,209,490,1030,
8/16/18,210,421,1002,
8/16/18,210,422,1056,
8/16/18,210,423,191,
8/16/18,210,424,1129,
8/16/18,211,340,664,
8/16/18,19,29,999,
8/16/18,19,30,910,
8/16/18,19,31,1147,
8/16/18,2,279,1019,
8/16/18,2,280,980,
8/16/18,2,281,986,
8/16/18,20,395,939,
8/16/18,20,396,1121,
8/16/18,22,229,971,
8/16/18,22,230,1046,
8/16/18,23,119,937,
8/16/18,23,120,967,
8/16/18,23,121,1029,
8/16/18,23,122,796,
8/16/18,23,123,940,
8/16/18,23,124,940,
8/16/18,26,394,1040,
8/16/18,3,260,869,
8/16/18,3,261,941,
8/16/18,3,264,895,
8/16/18,3,265,918,
8/16/18,63,191,1000,
8/16/18,63,192,968,
8/16/18,64,438,1002,
8/16/18,66,39,873,
8/16/18,68,298,981,
8/16/18,68,304,924,
8/16/18,68,307,920,
8/16/18,68,308,924,
8/16/18,69,460,975,
8/16/18,69,230,876,
8/16/18,69,231,867,
8/16/18,69,232,1211,
8/16/18,71,241,872,
8/16/18,72,192,846,
8/16/18,72,193,843,
8/16/18,72,194,794,
8/16/18,72,202,846,
8/16/18,72,203,876,
8/16/18,72,204,815,
8/16/18,72,205,802,
8/16/18,72,206,640,
8/16/18,72,207,842,
8/16/18,73,105,480,
8/16/18,74,424,1186,
8/16/18,74,425,905,
8/16/18,74,426,807,
8/16/18,74,427,900,
8/16/18,74,428,1251,
8/16/18,74,429,1108,
8/16/18,76,396,1064,
8/16/18,76,397,1006,
8/16/18,76,398,940,
8/16/18,76,399,304,
8/16/18,78,68,986,
8/16/18,81,259,1055,
8/16/18,82,416,890,
